Controls,PPO1,Receivers,PPO2,Treat,PPO3
CG,826.117,CR,985.425,PD,855.719
CG,755.33,CR,913.273,PD,730.623
CG,898.503,CR,805.944,PD,4027.073
CG,769.283,CR,1062.688,PD,3675.54
CG,1584.942,CR,656.216,PD,1253.45
CG,1251.803,CR,1387.026,PD,2350.685
CG,1201.855,PR,1116.856,PR,1116.856
CG,1100.818,PR,881.596,PR,881.596
CG,1105.785,PR,948.078,PR,948.078
CG,995.6,PR,1097.078,PR,1097.078
CG,1911.29,PR,635.291,PR,635.291
CG,1101.517,PR,930.64,PR,930.64
CO,1069.887,GR,1636.898,GD,556.062
CO,1093.141,GR,1410.707,GD,946.405
CO,613.075,GR,1382.796,GD,1924.457
CO,860.97,GR,1263.323,GD,2082.784
CO,944.742,GR,1121.679,GD,2007.317
CO,1504.456,GR,1930.32,GD,2052.131
CO,998.99,,,GR,1636.898
CO,965.509,,,GR,1410.707
CO,557.035,,,GR,1382.796
CO,885.249,,,GR,1263.323
CO,1009.07,,,GR,1121.679
CO,1291.179,,,GR,1930.32
CCR,2103.108,,,,
CCR,1290.694,,,,
CCR,776.101,,,,
CCR,761.484,,,,
CCR,674.628,,,,
CCR,470.273,,,,
CR,985.425,,,,
CR,913.273,,,,
CR,805.944,,,,
CR,1062.688,,,,
CR,656.216,,,,
CR,1387.026,,,,
