Controls,PPO1,Receivers,PPO2,Treat,PPO3
CG,1480,CR,1630,MD,11700
CG,826,CR,1420,MD,76800
CG,1320,CR,1930,MD,9530
CG,1610,CR,2010,MD,30900
CO,1310,CR,1430,MD,35200
CO,1480,CR,1340,MD,33000
CO,1370,MR,2050,MR,2050
CO,1110,MR,2770,MR,2770
CCR,1480,MR,1450,MR,1450
CCR,1550,MR,2340,MR,2340
CCR,301,MR,1750,MR,1750
CCR,651,MR,1690,MR,1690
CR,1630,WR,1740,WD,20500
CR,1420,WR,1410,WD,33400
CR,1930,WR,1470,WD,15200
CR,2010,WR,2400,WD,12800
CR,1430,WR,1260,WD,25200
CR,1340,,,WR,1740
,,,,WR,1410
,,,,WR,1470
,,,,WR,2400
,,,,WR,1260
