Controls,PPO1,Receivers,PPO2,Treat,PPO3
CG,1290,CR,2230,PD,2990
CG,1690,CR,1750,PD,2660
CG,1610,CR,1270,PD,4820
CG,1530,CR,1740,PD,6160
CG,1920,CR,1840,PD,5340
CG,1150,PR,1670,PD,8910
CG,1140,PR,2780,PR,1670
CG,1480,PR,2130,PR,2780
CG,2560,PR,1590,PR,2130
CG,1970,PR,2340,PR,1590
CG,1600,PR,2330,PR,2340
CG,1310,GR,1710,PR,2330
CO,1450,GR,1890,GD,5200
CO,1770,GR,1150,GD,2840
CO,1450,GR,2350,GD,3130
CO,1560,GR,1400,GD,3210
CO,1730,GR,1320,GD,2850
CO,2060,,,GD,5140
CO,1890,,,GR,1710
CO,1660,,,GR,1890
CO,1460,,,GR,1150
CO,1720,,,GR,2350
CCR,1970,,,GR,1400
CCR,1170,,,GR,1320
CCR,1320,,,,
CCR,1500,,,,
CCR,1210,,,,
CCR,1650,,,,
CR,2230,,,,
CR,1750,,,,
CR,1270,,,,
CR,1740,,,,
CR,1840,,,,
